ID,TEMPAT,FAKULTAS,HARI,KUARTAL,Kebisingan (Db),Suhu (Celcius),Kelembaban (Persen),Kekuatan(dbm)
1,FATISDA - Dalam,FATISDA,SENIN,Pagi,48.3,27.8,75,-55
2,FATISDA - Luar,FATISDA,SENIN,Pagi,33.0,28.7,75,-53
3,FMIPA - Samping Lift Lantai Bawah,FMIPA,SENIN,Pagi,26.0,29.20,74,-61
4,FMIPA - Pojok Statistika,FMIPA,SENIN,Pagi,30.1,28.9,75,-65
5,FMIPA - Atas Tidak Ada Atap,FMIPA,SENIN,Pagi,27.1,30.8,68,-69
6,FMIPA - Depan Masjid,FMIPA,SENIN,Pagi,24.3,30.1,71,-76
7,FMIPA - Dekat Parkiran,FMIPA,SENIN,Pagi,31.8,29.5,73,-65
8,FATISDA - Dalam,FATISDA,SENIN,Siang,54.4,31.9,59,-67
9,FATISDA - Luar,FATISDA,SENIN,Siang,53.8,32.2,60,-62
10,FMIPA - Samping Lift Lantai Bawah,FMIPA,SENIN,Siang,57.8,30.3,64,-76
11,FMIPA - Pojok Statistika,FMIPA,SENIN,Siang,57.3,31.0,63,-73
12,FMIPA - Atas Tidak Ada Atap,FMIPA,SENIN,Siang,54.0,34.0,58,-77
13,FMIPA - Depan Masjid,FMIPA,SENIN,Siang,53.9,32.2,62,-68
14,FMIPA - Dekat Parkiran,FMIPA,SENIN,Siang,58.9,31.5,62,-61
15,FATISDA - Dalam,FATISDA,SENIN,Sore,63.4,31.0,62,-63
16,FATISDA - Luar,FATISDA,SENIN,Sore,68,31.5,62,-54
17,FMIPA - Samping Lift Lantai Bawah,FMIPA,SENIN,Sore,59,31.5,64,-75
18,FMIPA - Pojok Statistika,FMIPA,SENIN,Sore,63.1,31.1,63,-72
19,FMIPA - Atas Tidak Ada Atap,FMIPA,SENIN,Sore,62.4,31.4,63,-74
20,FMIPA - Depan Masjid,FMIPA,SENIN,Sore,59.9,31.4,64,-72
21,FMIPA - Dekat Parkiran,FMIPA,SENIN,Sore,63,31.2,69,-73
22,FATISDA - Dalam,FATISDA,SELASA,Pagi,31.4,28.5,72,-68
23,FATISDA - Luar,FATISDA,SELASA,Pagi,35.9,28.5,74,-50
24,FMIPA - Samping Lift Lantai Bawah,FMIPA,SELASA,Pagi,31.6,27.5,74,-63
25,FMIPA - Pojok Statistika,FMIPA,SELASA,Pagi,36.3,28.0,75,-55
26,FMIPA - Atas Tidak Ada Atap,FMIPA,SELASA,Pagi,35.6,29.0,71,-65
27,FMIPA - Depan Masjid,FMIPA,SELASA,Pagi,34.9,29.5,73,-65
28,FMIPA - Dekat Parkiran,FMIPA,SELASA,Pagi,41.3,30.2,72,-57
29,FATISDA - Dalam,FATISDA,SELASA,Siang,56.5,31.1,63,-64
30,FATISDA - Luar,FATISDA,SELASA,Siang,49.3,30.8,66,-58
31,FMIPA - Samping Lift Lantai Bawah,FMIPA,SELASA,Siang,56.5,31.1,63,-58
32,FMIPA - Pojok Statistika,FMIPA,SELASA,Siang,57.4,30.1,66,-62
33,FMIPA - Atas Tidak Ada Atap,FMIPA,SELASA,Siang,51.6,30.8,64,-77
34,FMIPA - Depan Masjid,FMIPA,SELASA,Siang,48.8,30.5,67,-71
35,FMIPA - Dekat Parkiran,FMIPA,SELASA,Siang,48.3,29.5,69,-63
36,FATISDA - Dalam,FATISDA,SELASA,Sore,69.9,29.1,72,-63
37,FATISDA - Luar,FATISDA,SELASA,Sore,67.1,29.2,72,-52
38,FMIPA - Samping Lift Lantai Bawah,FMIPA,SELASA,Sore,55.1,28.9,72,-74
39,FMIPA - Pojok Statistika,FMIPA,SELASA,Sore,60.9,28.8,73,-75
40,FMIPA - Atas Tidak Ada Atap,FMIPA,SELASA,Sore,61.9,28.9,71,-79
41,FMIPA - Depan Masjid,FMIPA,SELASA,Sore,61.8,29.2,73,-72
42,FMIPA - Dekat Parkiran,FMIPA,SELASA,Sore,64.5,29.7,70,-56
43,FATISDA - Dalam,FATISDA,RABU,Pagi,30.5,27.7,79,-67
44,FATISDA - Luar,FATISDA,RABU,Pagi,33.2,27.9,78,-56
45,FMIPA - Samping Lift Lantai Bawah,FMIPA,RABU,Pagi,28.2,28.5,79,-64
46,FMIPA - Pojok Statistika,FMIPA,RABU,Pagi,36.9,28.6,77,-66
47,FMIPA - Atas Tidak Ada Atap,FMIPA,RABU,Pagi,33.7,28.7,76,-71
48,FMIPA - Depan Masjid,FMIPA,RABU,Pagi,42.1,28.9,80,-76
49,FMIPA - Dekat Parkiran,FMIPA,RABU,Pagi,38.9,29.0,80,-61
50,FATISDA - Dalam,FATISDA,RABU,Siang,43.7,32.2,60,-65
51,FATISDA - Luar,FATISDA,RABU,Siang,43.4,32.4,67,-63
52,FMIPA - Samping Lift Lantai Bawah,FMIPA,RABU,Siang,43.5,32.7,60,-76
53,FMIPA - Pojok Statistika,FMIPA,RABU,Siang,54.4,30.4,66,-68
54,FMIPA - Atas Tidak Ada Atap,FMIPA,RABU,Siang,44.3,32.1,65,-66
55,FMIPA - Depan Masjid,FMIPA,RABU,Siang,48.1,32.6,62,-75
56,FMIPA - Dekat Parkiran,FMIPA,RABU,Siang,48.7,32.5,65,-55
57,FATISDA - Dalam,FATISDA,RABU,Sore,62.5,28.8,72,-61
58,FATISDA - Luar,FATISDA,RABU,Sore,66.1,28.8,71,-50
59,FMIPA - Samping Lift Lantai Bawah,FMIPA,RABU,Sore,61.2,28.4,73,-77
60,FMIPA - Pojok Statistika,FMIPA,RABU,Sore,62.6,28.4,73,-70
61,FMIPA - Atas Tidak Ada Atap,FMIPA,RABU,Sore,57.3,27.9,73,-75
62,FMIPA - Depan Masjid,FMIPA,RABU,Sore,63.7,29.7,73,-72
63,FMIPA - Dekat Parkiran,FMIPA,RABU,Sore,63.4,29.5,73,-60
64,FATISDA - Dalam,FATISDA,KAMIS,Pagi,30.1,28.4,74,-62
65,FATISDA - Luar,FATISDA,KAMIS,Pagi,35.9,28.3,73,-52
66,FMIPA - Samping Lift Lantai Bawah,FMIPA,KAMIS,Pagi,31.2,28.5,75,-65
67,FMIPA - Pojok Statistika,FMIPA,KAMIS,Pagi,33.1,28.2,72,-61
68,FMIPA - Atas Tidak Ada Atap,FMIPA,KAMIS,Pagi,33.3,28.5,70,-69
69,FMIPA - Depan Masjid,FMIPA,KAMIS,Pagi,32.2,29.2,75,-70
70,FMIPA - Dekat Parkiran,FMIPA,KAMIS,Pagi,39.8,29.7,69,-62
71,FATISDA - Dalam,FATISDA,KAMIS,Siang,49,31.8,62,-61
72,FATISDA - Luar,FATISDA,KAMIS,Siang,48.9,32.2,61,-56
73,FMIPA - Samping Lift Lantai Bawah,FMIPA,KAMIS,Siang,46,32.5,62,-76
74,FMIPA - Pojok Statistika,FMIPA,KAMIS,Siang,46.2,31.9,60,-71
75,FMIPA - Atas Tidak Ada Atap,FMIPA,KAMIS,Siang,58,33.1,62,-82
76,FMIPA - Depan Masjid,FMIPA,KAMIS,Siang,41.1,33.3,61,-56
77,FMIPA - Dekat Parkiran,FMIPA,KAMIS,Siang,46.7,32.5,59,-74
78,FATISDA - Dalam,FATISDA,KAMIS,Sore,65.7,29.3,69,-62
79,FATISDA - Luar,FATISDA,KAMIS,Sore,68,29.5,69,-55
80,FMIPA - Samping Lift Lantai Bawah,FMIPA,KAMIS,Sore,59,29.1,71,-75
81,FMIPA - Pojok Statistika,FMIPA,KAMIS,Sore,62.7,29,71,-66
82,FMIPA - Atas Tidak Ada Atap,FMIPA,KAMIS,Sore,60.5,29.4,69,-76
83,FMIPA - Depan Masjid,FMIPA,KAMIS,Sore,65.3,29.8,71,-68
84,FMIPA - Dekat Parkiran,FMIPA,KAMIS,Sore,63,29.7,73,-63
85,FATISDA - Dalam,FATISDA,JUMAT,Pagi,20.2,28.7,73,-60
86,FATISDA - Luar,FATISDA,JUMAT,Pagi,55.4,28.2,75,-50
87,FMIPA - Samping Lift Lantai Bawah,FMIPA,JUMAT,Pagi,62.1,27.8,77,-74
88,FMIPA - Pojok Statistika,FMIPA,JUMAT,Pagi,58.7,28.2,74,-58
89,FMIPA - Atas Tidak Ada Atap,FMIPA,JUMAT,Pagi,52.4,28.1,74,-73
90,FMIPA - Depan Masjid,FMIPA,JUMAT,Pagi,45.6,27.9,77,-66
91,FMIPA - Dekat Parkiran,FMIPA,JUMAT,Pagi,49.5,28.5,77,-66
92,FATISDA - Dalam,FATISDA,JUMAT,Siang,49.1,29.7,66,-72
93,FATISDA - Luar,FATISDA,JUMAT,Siang,45.1,29.5,67,-59
94,FMIPA - Samping Lift Lantai Bawah,FMIPA,JUMAT,Siang,45.8,30,67,-75
95,FMIPA - Pojok Statistika,FMIPA,JUMAT,Siang,52.2,29.2,68,-71
96,FMIPA - Atas Tidak Ada Atap,FMIPA,JUMAT,Siang,56.2,30.5,67,-56
97,FMIPA - Depan Masjid,FMIPA,JUMAT,Siang,46.9,30.6,68,-69
98,FMIPA - Dekat Parkiran,FMIPA,JUMAT,Siang,41.5,30.5,69,-74
99,FATISDA - Dalam,FATISDA,JUMAT,Sore,67.1,28.6,73,-61
100,FATISDA - Luar,FATISDA,JUMAT,Sore,67.8,28.6,74,-67
101,FMIPA - Samping Lift Lantai Bawah,FMIPA,JUMAT,Sore,81.7,27.6,76,-77
102,FMIPA - Pojok Statistika,FMIPA,JUMAT,Sore,64.3,27.8,77,-49
103,FMIPA - Atas Tidak Ada Atap,FMIPA,JUMAT,Sore,60.5,29.4,69,-76
104,FMIPA - Depan Masjid,FMIPA,JUMAT,Sore,75.8,29.2,76,-57
105,FMIPA - Dekat Parkiran,FMIPA,JUMAT,Sore,62.5,28.5,80,-65
